crash_id,degree_of_crash,degree_of_crash_-_detailed,reporting_year,year_of_crash,month_of_crash,day_of_week_of_crash,two-hour_intervals,street_of_crash,street_type,distance,direction,identifying_feature,identifying_feature_type,town,route_no.,school_zone_location,school_zone_active,type_of_location,latitude,longitude,lga,urbanisation,conurbation_1,alignment,primary_permanent_feature,primary_temporary_feature,primary_hazardous_feature,street_lighting,road_surface,surface_condition,weather,natural_lighting,signals_operation,other_traffic_control,speed_limit,road_classification_(admin),rum_-_code,rum_-_description,dca_-_code,dca_-_description,dca_supplement,first_impact_type,key_tu_type,other_tu_type,no._of_traffic_units_involved,no._killed,no._seriously_injured,no._moderately_injured,no._minor-other_injured,month_num,month_label,season,day_label,time_label,time_band,is_peak_commute,is_fatal,is_injury,is_casualty
1371606,Injury,Serious Injury,2024,2024,December,Wednesday,18:00 - 19:59,FIFTEENTH,AVE,0,Right on the spot,TWENTY EIGHTH,AVE,AUSTRAL,,No,Not a school zone,X-intersection,-33.920725,150.828781,Liverpool,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Daylight,Nil,Give way sign,60 km/h,Local,21,Right through,202,Opp - Right-thru,,Other angle,4 wheel drive / SUV,Car (sedan/hatch),2,0,1,0,0,12,December,Summer,Wednesday,18:00 - 19:59,PM peak / evening commute,True,False,True,True
1371608,Injury,Moderate Injury,2024,2024,November,Friday,22:00 - Midnight,CASTLEREAGH,HWY,3700,North,BYLONG VALLEY,WAY,ILFORD,18.0,No,Not a school zone,2-way undivided,-32.913187,149.841901,Mid-Western Regional,Country non-urban,Rest of NSW - Rural,Straight,,,,Nil,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,100 km/h,State,71,Off rd left => obj,703,Left off cway into object,,Vehicle - Object,Semi-trailer,,1,0,0,1,0,11,November,Spring,Friday,22:00 - Midnight,Evening / night,False,False,True,True
1371616,Injury,Serious Injury,2024,2024,October,Tuesday,14:00 - 15:59,BEACONSFIELD,ST,0,Right on the spot,NUMBER 68,HN,REVESBY,7125.0,No,Not a school zone,2-way undivided,-33.943484,151.006669,Canterbury-Bankstown,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,60 km/h,Regional,71,Off rd left => obj,703,Left off cway into object,,Other angle,Car (sedan/hatch),4 wheel drive / SUV,2,0,1,0,0,10,October,Spring,Tuesday,14:00 - 15:59,Midday / afternoon,False,False,True,True
1371620,Injury,Minor/Other Injury,2024,2024,October,Thursday,22:00 - Midnight,WOODVILLE,RD,0,Right on the spot,AMPOL SERVICE STATION,ENT,OLD GUILDFORD,640.0,Yes,No,Divided road,-33.866894,150.988171,Fairfield,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,Driveway/entrance,,,On,Sealed,Dry,Fine,Darkness,Nil,No traffic controls,70 km/h,State,37,Left turn sideswipe,309,Same - Left turn side swipe,,Other angle,4 wheel drive / SUV,Car (sedan/hatch),2,0,0,0,1,10,October,Spring,Thursday,22:00 - Midnight,Evening / night,False,False,True,True
1371623,Injury,Moderate Injury,2024,2024,December,Tuesday,06:00 - 07:59,RAILWAY,ST,0,Right on the spot,NUMBER 60-62,HN,GRANVILLE,,No,Not a school zone,2-way undivided,-33.824442,150.995341,Parramatta,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,Steep grade,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,50 km/h,Local,71,Off rd left => obj,703,Left off cway into object,,Other angle,4 wheel drive / SUV,Car (sedan/hatch),3,0,0,1,0,12,December,Summer,Tuesday,06:00 - 07:59,AM peak / school commute,True,False,True,True
1371624,Injury,Serious Injury,2024,2024,November,Tuesday,16:00 - 17:59,COWPER,ST,50,West,AVOCA,ST,RANDWICK,7329.0,Yes,No,2-way undivided,-33.909394,151.243455,Randwick,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,50 km/h,Regional,63,Vehicle door,604,On path - Vehicle door,,Other angle,Motor scooter,4 wheel drive / SUV,3,0,1,0,0,11,November,Spring,Tuesday,16:00 - 17:59,PM peak / evening commute,True,False,True,True
1371628,Injury,Moderate Injury,2024,2024,December,Friday,06:00 - 07:59,ELIZABETH,ST,0,Right on the spot,LIVERPOOL,ST,SYDNEY,7083.0,No,Not a school zone,X-intersection,-33.876852,151.209453,Sydney,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Daylight,On,No traffic controls,40 km/h,Regional,10,Cross traffic,101,Adj - Cross traffic,,Right angle,Light truck utility(from 2018),Car (sedan/hatch),2,0,0,2,0,12,December,Summer,Friday,06:00 - 07:59,AM peak / school commute,True,False,True,True
1371633,Injury,Moderate Injury,2024,2024,November,Saturday,18:00 - 19:59,ELIZABETH,DR,0,Right on the spot,MCLEAN,ST,LIVERPOOL,535.0,No,Not a school zone,T-junction,-33.917855,150.912788,Liverpool,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Curved,Pedestrian refuge,,,On,Sealed,Wet,Raining,Dusk,Nil,Ped crossing,70 km/h,State,81,Off left/rt bnd=>obj,803,Off right bend into obj,Left,Vehicle - Object,Car (sedan/hatch),,1,0,0,1,0,11,November,Spring,Saturday,18:00 - 19:59,PM peak / evening commute,True,False,True,True
1371637,Injury,Serious Injury,2024,2024,December,Monday,16:00 - 17:59,HUME,HWY,50,South,SHERMAN,ST,GREENACRE,2.0,No,Not a school zone,Divided road,-33.8944,151.05347,Canterbury-Bankstown,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Off,Sealed,Dry,Fine,Daylight,Nil,No traffic controls,70 km/h,State,30,Rear end,301,Same - Rear end,,Rear end,Light truck utility(from 2018),Car (sedan/hatch),3,0,2,0,0,12,December,Summer,Monday,16:00 - 17:59,PM peak / evening commute,True,False,True,True
1371638,Injury,Serious Injury,2024,2024,October,Thursday,16:00 - 17:59,LONDONDERRY,RD,150,South,WILSHIRE,RD,LONDONDERRY,630.0,No,Not a school zone,2-way undivided,-33.6329,150.73816,Penrith,Sydney metro. area,Syd-Newc-Woll Gtr conurbation,Straight,,,,Nil,Sealed,Wet,Raining,Daylight,Nil,No traffic controls,80 km/h,State,71,Off rd left => obj,703,Left off cway into object,,Vehicle - Object,Utility,,1,0,1,0,0,10,October,Spring,Thursday,16:00 - 17:59,PM peak / evening commute,True,False,True,True
